,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,10,100,133,49,5,9,47,,,,14,1,1,1,1,6,2012
0,8,19,120,53,5,9,59,1287.0,20.0,34.0,6,0,0,0,1,3,2012
0,8,8,36,27,5,9,48,,,,7,1,1,1,1,5,2012
0,9,49,68,48,5,5,43,,,,5,0,0,0,1,4,2012
0,10,24,252,29,5,7,43,,,,4,0,0,0,1,2,2012
0,12,39,153,42,5,7,42,,,,5,0,0,0,1,2,2012
0,10,21,305,49,4,6,49,,,,13,1,1,1,1,4,2012
0,7,105,346,42,5,7,55,1033.0,6.0,6.0,21,0,0,0,1,7,2012
0,9,40,136,22,4,10,44,,,,9,0,0,0,1,4,2012
0,8,35,223,40,5,9,50,,,,3,0,0,0,1,2,2012
0,8,35,261,36,5,4,69,,,,13,1,1,1,1,5,2012
0,9,33,177,50,6,9,47,,,,195,0,0,1,1,128,2012
0,8,186,322,36,5,6,48,,,,14,0,0,0,1,4,2012
0,6,33,246,37,6,9,48,,,,6,0,0,0,1,1,2012
0,7,94,470,35,5,10,50,,,,7,0,0,0,1,2,2012
0,11,11,95,33,4,4,63,,,,20,0,0,0,1,5,2012
0,10,10,81,30,6,7,38,,,,2,0,0,0,1,2,2012
0,10,2,50,39,4,10,44,,,,8,0,0,0,1,4,2012
0,10,189,605,30,5,8,41,,,,29,1,1,1,1,10,2012
0,9,19,96,40,5,10,32,,,,18,0,1,1,1,7,2012
0,10,81,218,53,6,6,49,,,,73,1,1,1,1,35,2012
0,9,33,100,34,5,7,50,,,,4,0,0,0,1,2,2012
0,7,56,240,36,6,10,46,,,,16,0,0,0,1,7,2012
0,7,60,143,51,6,5,48,,,,8,0,0,0,1,3,2012
0,11,329,643,46,5,8,45,,,,136,1,1,1,1,54,2012
0,6,90,243,36,5,6,71,,,,7,0,1,1,1,3,2012
0,10,18,271,49,5,5,65,1816.0,20.0,27.0,10,0,0,0,1,4,2012
0,10,6,57,49,4,6,60,,,,3,0,0,0,1,1,2012
0,8,5,188,20,5,4,44,,,,16,1,1,1,1,9,2012
0,7,67,579,38,4,10,46,,,,8,1,1,1,1,5,2012
0,10,597,4366,52,9,10,45,,,,1,1,1,1,1,110,2012
0,7,151,234,38,3,6,19,,,,14,0,0,1,1,5,2012
0,8,297,200,45,4,4,24,,,,20,0,0,0,1,4,2012
0,10,118,920,48,6,4,37,,,,127,1,1,1,1,56,2012
0,11,226,684,36,5,9,62,,,,1,1,1,1,1,22,2012
0,7,471,253,33,4,6,37,,,,11,0,0,0,1,5,2012
0,9,1,125,28,5,8,29,,,,6,0,0,0,1,3,2012
0,7,138,165,56,5,5,30,,,,6,1,1,1,1,4,2012
0,10,10,237,50,5,4,60,,,,7,0,0,0,1,3,2012
0,11,39,556,47,5,10,41,,,,8,1,1,1,1,3,2012
0,6,38,293,36,5,5,61,,,,11,0,0,0,1,5,2012
0,3,56,229,30,4,9,24,,,,5,0,1,1,1,1,2012
0,8,53,138,69,5,10,33,,,,11,0,1,1,1,6,2012
0,9,22,260,32,5,8,39,,,,5,1,1,1,1,2,2012
0,9,53,463,37,6,8,41,,,,20,0,1,1,1,7,2012
0,10,16,173,39,6,7,58,,,,3,0,0,0,1,1,2012
0,6,25,81,45,4,9,53,,,,5,0,1,1,1,1,2012
0,12,147,574,30,4,10,61,,,,35,0,0,0,1,5,2012
0,11,362,1845,55,5,5,36,3500.0,10.0,10.0,56,0,0,0,1,13,2012
0,8,63,325,41,5,7,55,,,,4,0,0,0,1,4,2012
0,7,11,99,75,5,5,43,,,,3,0,0,0,1,1,2012
0,7,313,4941,46,9,5,56,,,,1,1,1,1,1,91,2012
0,12,3,73,33,5,8,29,,,,16,0,1,1,1,8,2012
0,8,5,193,41,5,6,54,,,,24,0,0,0,1,5,2012
0,11,177,954,48,5,4,44,,,,85,0,0,1,1,13,2012
0,10,185,747,43,8,8,31,,,,67,1,1,1,1,19,2012
0,12,206,268,51,5,8,49,,,,4,0,1,1,1,5,2012
0,11,29,479,36,6,7,56,4320.0,24.0,28.0,20,1,1,1,1,4,2012
0,11,39,220,47,6,5,50,,,,18,1,1,1,1,6,2012
0,7,21,68,45,5,9,57,,,,3,0,0,0,1,1,2012
0,8,155,1805,50,6,10,45,,,,1,1,1,1,1,92,2012
0,10,71,774,37,9,9,48,,,,56,1,1,1,1,14,2012
0,10,59,430,26,7,8,44,,,,37,0,1,1,1,6,2012
0,10,750,6744,54,17,9,80,,,,1,1,1,1,1,80,2012
0,8,120,1211,44,7,9,36,,,,62,1,1,1,1,12,2012
0,6,186,2101,62,7,8,39,28249.0,41.0,67.0,85,1,1,1,1,19,2012
0,10,8,277,49,5,6,51,,,,8,0,0,0,1,5,2012
0,10,24,165,35,5,6,41,,,,65,1,1,1,1,55,2012
0,5,42,113,32,5,8,36,,,,17,1,1,1,1,10,2012
0,9,13,197,42,5,4,47,,,,8,0,0,0,1,2,2012
0,14,973,901,60,4,6,27,,,,21,0,0,0,1,5,2012
0,11,411,664,44,5,9,61,,,,13,0,0,0,1,7,2012
0,11,97,262,40,5,5,44,,,,10,0,1,1,1,4,2012
0,7,64,126,35,5,7,37,,,,22,0,0,0,1,7,2012
0,12,221,370,30,5,4,25,2187.0,14.0,18.0,33,1,1,1,1,22,2012
0,4,47,815,35,4,4,45,,,,6,0,0,0,1,3,2012
0,10,37,255,39,5,5,45,,,,4,0,0,0,1,1,2012
0,11,5,154,56,5,7,57,,,,2,0,0,1,1,2,2012
0,12,8,232,38,5,10,41,,,,5,0,0,0,1,2,2012
0,7,30,383,56,7,8,40,,,,135,1,1,1,1,97,2012
0,10,266,189,41,6,10,22,,,,30,1,1,1,1,26,2012
0,9,178,3398,52,7,6,44,,,,1,1,1,1,1,74,2012
0,11,339,1072,36,6,6,51,,,,26,0,0,0,1,12,2012
0,11,213,135,35,5,7,37,,,,30,0,0,1,1,4,2012
0,8,19,140,26,5,6,55,,,,5,0,0,0,1,3,2012
0,8,28,162,39,6,4,46,,,,5,0,0,0,1,1,2012
0,7,67,377,33,5,8,52,,,,4,0,0,0,1,1,2012
0,8,39,595,49,5,9,49,3343.0,30.0,52.0,13,0,0,0,1,5,2012
0,7,337,207,36,4,10,20,1142.0,17.0,24.0,6,1,1,1,1,4,2012
0,10,12,150,51,5,6,38,,,,2,1,1,1,1,1,2012
0,4,52,465,21,4,5,36,,,,34,0,0,0,1,14,2012
0,9,22,94,29,4,4,26,,,,62,0,1,1,1,21,2012
0,7,50,417,30,5,5,49,,,,50,0,0,0,1,19,2012
0,6,200,1067,37,6,6,17,,,,249,1,1,1,1,80,2012
0,10,11,108,18,5,10,48,4286.4,26.6,47.8,8,1,1,1,1,3,2012
0,9,57,351,32,6,6,42,,,,10,0,0,0,1,3,2012
0,9,515,3656,51,7,4,27,,,,249,1,1,1,1,79,2012
0,9,70,593,42,7,7,45,15157.0,29.0,32.0,59,1,1,1,1,24,2012
0,10,56,437,45,6,8,52,,,,12,1,1,1,1,4,2012
0,10,40,190,31,4,4,34,,,,4,1,1,1,1,2,2012
0,10,8,208,16,5,4,49,,,,4,0,1,1,1,3,2012
0,5,85,376,5,5,10,39,,,,7,1,1,1,1,9,2012
0,8,15,94,25,5,9,54,,,,5,0,0,0,1,2,2012
