,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,8,13,254,8,5,6,56,31742.6,47.2,173.4,13,1,1,1,1,5,2010
0,6,14,785,59,6,7,48,7615.0,20.5,23.75,47,1,1,1,1,18,2010
0,9,15,483,66,5,9,47,2859.0,12.0,13.0,30,0,1,1,1,14,2010
0,9,134,139,58,5,7,39,22535.0,44.4,202.8,19,0,1,1,1,13,2010
0,12,562,831,90,7,10,37,29858.0,49.0,75.6,28,1,1,1,1,14,2010
0,10,21,193,51,5,8,67,5.0,2.0,0.0,2,0,0,0,1,1,2010
0,7,7,82,49,6,9,48,621.0,13.5,17.0,24,0,0,0,1,4,2010
0,9,1,207,43,5,7,54,1824.0,17.0,17.0,16,1,1,1,1,11,2010
0,10,34,495,78,5,5,50,6372.67,26.33,33.33,13,0,0,0,1,4,2010
0,8,50,440,83,4,10,30,16584.0,43.67,84.0,10,0,1,1,1,3,2010
0,11,2,286,57,5,5,47,8354.5,35.5,56.5,3,0,1,1,1,3,2010
0,9,5,230,65,4,7,37,156.5,6.0,5.0,14,1,1,1,1,5,2010
0,9,18,246,56,5,7,49,2763.0,24.0,41.33,13,1,1,1,1,2,2010
0,9,25,491,67,5,4,57,,,,16,1,1,1,1,4,2010
0,9,15,198,71,5,10,50,3990.25,25.25,49.0,10,0,0,0,1,3,2010
0,10,20,164,61,4,4,49,674.5,11.5,18.5,9,0,0,0,1,3,2010
0,8,26,652,80,5,9,50,4034.0,24.0,34.75,10,1,1,1,1,5,2010
0,11,4,157,80,5,10,56,8105.0,41.5,80.5,6,1,1,1,1,2,2010
0,11,15,560,73,6,7,50,3310.33,16.0,20.67,15,1,1,1,1,9,2010
0,8,16,220,71,5,6,48,10020.5,40.75,102.0,6,0,0,1,1,3,2010
0,10,21,384,72,6,8,53,2156.6,10.0,10.6,13,1,1,1,1,7,2010
0,9,18,430,72,5,7,47,2315.33,11.0,11.67,12,1,1,1,1,4,2010
0,9,91,466,45,5,5,47,2069.67,15.33,19.0,8,0,0,0,1,2,2010
0,10,79,896,38,4,5,35,24826.0,59.0,127.0,10,0,0,0,1,3,2010
0,9,0,200,53,6,7,86,73577.5,131.0,415.0,5,1,1,1,1,3,2010
0,6,53,51,68,3,5,40,,,,1,0,0,0,1,1,2010
0,9,4,160,33,6,7,41,30366.5,54.0,131.25,20,0,0,0,1,1,2010
0,9,198,4271,64,12,5,50,,,,1,1,1,1,1,80,2010
0,12,4,69,79,6,9,56,7425.33,24.67,36.33,10,1,1,1,1,7,2010
0,10,11,183,73,5,9,44,4720.67,29.33,38.67,3,0,0,0,1,2,2010
0,13,55,107,1,3,9,18,7737.6,42.2,88.8,5,0,0,0,1,4,2010
0,9,1,173,61,5,7,57,8656.5,40.5,61.5,7,1,1,1,1,6,2010
0,8,1,58,74,4,5,34,16196.0,33.0,41.0,4,1,1,1,1,3,2010
0,11,41,423,63,4,9,34,2083.0,16.0,21.5,4,0,0,0,1,3,2010
0,6,22,569,69,5,10,37,14906.5,43.0,209.0,14,1,1,1,1,10,2010
0,10,13,143,69,4,7,47,1081.0,9.0,9.0,13,1,1,1,1,5,2010
0,11,12,54,65,5,9,63,596.0,9.0,9.5,5,0,1,1,1,3,2010
0,9,135,2353,79,6,10,29,21935.5,60.0,145.25,11,0,1,1,1,9,2010
0,7,3,136,77,4,5,31,21609.0,56.5,115.5,2,0,0,0,1,1,2010
0,9,16,282,85,4,6,41,1807.5,15.0,16.5,7,0,0,0,1,1,2010
0,5,106,1683,64,6,6,42,5840.25,35.5,58.25,25,0,0,1,1,9,2010
0,10,91,292,61,5,5,37,17855.0,48.0,338.5,22,1,1,1,1,15,2010
0,9,32,553,69,3,7,19,1453.0,8.0,8.0,12,1,1,1,1,4,2010
0,10,36,486,75,5,9,64,2206.33,13.67,17.33,13,0,0,0,1,4,2010
0,8,18,226,69,4,5,30,8119.0,32.0,49.0,3,1,1,1,1,2,2010
0,10,52,1500,58,6,10,27,,,,1,1,1,1,1,28,2010
0,12,4,126,84,4,7,48,3609.33,26.0,37.67,8,0,0,0,1,4,2010
0,11,23,571,71,6,9,33,2230.0,10.5,11.5,23,0,1,1,1,7,2010
0,7,0,285,75,5,4,54,7436.0,41.5,96.5,2,0,0,0,1,1,2010
0,11,7,91,65,5,8,58,,,,4,0,0,0,1,1,2010
0,11,28,220,67,4,6,50,4623.0,15.5,15.5,4,0,0,0,1,1,2010
0,6,16,312,73,5,4,52,1417.0,15.0,17.0,3,1,1,1,1,2,2010
0,8,5,197,74,5,9,38,4149.0,16.0,17.0,14,0,0,1,1,5,2010
0,9,19,985,69,5,8,49,2780.5,16.5,20.0,13,1,1,1,1,4,2010
0,9,27,2300,74,5,4,34,,,,4,1,1,1,1,4,2010
