,title_length,altmetric,num_times_cited,abstract_length,page_length,fig_count,ref_cnt,mean_author_citations,mean_h_index,mean_i10_index,num_authors,top20,top50,top100,other,num_insitutions,year
0,12,0,112,68,5,6,47,,,,9,1,1,1,1,2,2009
0,8,6,112,59,5,8,42,,,,5,1,1,1,1,5,2009
0,10,24,551,62,5,7,38,,,,33,0,0,0,1,9,2009
0,9,33,647,51,7,10,52,,,,14,0,0,0,1,12,2009
0,7,1,473,57,5,10,49,,,,6,1,1,1,1,2,2009
0,9,26,357,71,6,7,24,,,,187,1,1,1,1,97,2009
0,13,20,268,71,4,7,49,,,,12,0,0,0,1,4,2009
0,10,65,352,79,4,8,37,,,,5,1,1,1,1,3,2009
0,11,0,48,67,4,5,45,,,,2,1,1,1,1,2,2009
0,11,77,955,60,5,7,41,,,,45,0,0,0,1,7,2009
0,11,84,677,62,6,6,43,,,,40,1,1,1,1,8,2009
0,11,167,613,55,6,5,30,,,,123,0,0,0,1,26,2009
0,12,0,100,73,4,8,46,,,,7,1,1,1,1,6,2009
0,11,334,594,64,4,7,30,,,,6,1,1,1,1,3,2009
0,9,9,111,65,4,4,21,,,,4,0,0,0,1,2,2009
0,13,12,193,61,4,7,31,,,,6,0,0,0,1,4,2009
0,10,18,649,68,11,9,87,,,,3,0,0,1,1,2,2009
0,9,0,142,50,6,6,81,,,,9,1,1,1,1,7,2009
0,12,3,84,69,5,7,38,,,,10,0,0,0,1,3,2009
0,5,63,1634,71,5,8,25,,,,20,1,1,1,1,5,2009
0,10,1,246,70,5,9,50,,,,3,0,0,0,1,1,2009
0,8,22,510,54,6,5,50,,,,10,1,1,1,1,8,2009
0,11,25,636,67,6,10,46,,,,8,1,1,1,1,3,2009
0,11,14,334,63,6,5,41,,,,21,0,0,0,1,6,2009
0,7,12,239,57,5,5,55,,,,5,0,0,0,1,1,2009
0,5,21,823,70,6,7,31,,,,41,0,0,0,1,5,2009
0,7,42,876,62,6,6,50,,,,17,0,0,0,1,7,2009
0,8,13,514,68,5,9,48,,,,6,1,1,1,1,2,2009
0,12,7,66,64,4,8,47,,,,3,0,0,0,1,3,2009
0,7,6,277,74,5,7,29,,,,14,0,0,0,1,3,2009
0,8,2,330,68,7,5,53,,,,27,0,0,1,1,13,2009
0,11,100,668,66,4,9,42,,,,8,0,1,1,1,6,2009
0,9,57,444,64,5,10,43,,,,4,1,1,1,1,3,2009
0,9,5,257,70,8,4,50,,,,6,1,1,1,1,3,2009
0,11,58,2411,67,7,9,46,,,,18,1,1,1,1,8,2009
0,10,0,157,70,5,6,41,,,,4,0,1,1,1,4,2009
0,9,4,183,57,7,7,50,,,,7,0,0,0,1,2,2009
0,11,16,310,51,7,5,48,,,,7,0,0,0,1,2,2009
0,12,55,1070,80,8,9,50,,,,29,0,0,0,1,6,2009
0,9,6,180,74,4,4,27,,,,12,1,1,1,1,6,2009
0,4,300,679,67,5,4,43,,,,5,0,0,0,1,4,2009
0,13,9,597,71,5,9,40,,,,13,0,0,0,1,3,2009
0,7,23,135,58,5,7,27,,,,12,0,0,1,1,5,2009
0,8,23,1074,59,6,6,29,,,,36,0,0,0,1,3,2009
